Power,Velocity,beam D,layer thickness,defect_label
300,1800,80.0,50.0,2.0
300,2000,80.0,50.0,2.0
300,2200,80.0,50.0,2.0
300,2400,80.0,50.0,2.0
300,2600,80.0,50.0,2.0
900,600,240.0,50.0,2.0
900,700,240.0,50.0,2.0
900,800,240.0,50.0,2.0
900,900,240.0,50.0,2.0
900,1000,240.0,50.0,2.0
900,1200,240.0,50.0,2.0
900,1400,240.0,50.0,2.0
1350,600,240.0,50.0,2.0
1350,800,240.0,50.0,2.0
1350,1000,240.0,50.0,2.0
1350,1200,240.0,50.0,2.0
1350,1400,240.0,50.0,2.0
1350,1500,240.0,50.0,2.0
1350,1600,240.0,50.0,2.0
1350,1800,240.0,50.0,2.0
1350,2000,240.0,50.0,2.0
1800,800,240.0,50.0,2.0
1800,1000,240.0,50.0,2.0
1800,1200,240.0,50.0,2.0
1800,1400,240.0,50.0,2.0
1800,1600,240.0,50.0,2.0
1800,1800,240.0,50.0,2.0
1800,2000,240.0,50.0,2.0
1800,2200,240.0,50.0,2.0
1800,2400,240.0,50.0,2.0
170,1100,100.0,20.0,2.0
170,1200,100.0,20.0,2.0
170,1300,100.0,20.0,2.0
195,900,100.0,20.0,2.0
195,1000,100.0,20.0,2.0
195,1100,100.0,20.0,2.0
195,1200,100.0,20.0,2.0
195,1300,100.0,20.0,2.0
220,900,100.0,20.0,2.0
220,1000,100.0,20.0,2.0
220,1100,100.0,20.0,2.0
220,1200,100.0,20.0,2.0
220,1300,100.0,20.0,2.0
200,1400,80.0,50.0,2.0
200,1600,80.0,50.0,2.0
200,1800,80.0,50.0,2.0
200,2000,80.0,50.0,2.0
200,2200,80.0,50.0,2.0
200,2400,80.0,50.0,2.0
300,1200,80.0,50.0,2.0
300,1400,80.0,50.0,2.0
300,1600,80.0,50.0,2.0
300,1800,80.0,50.0,2.0
300,2000,80.0,50.0,2.0
300,2200,80.0,50.0,2.0
300,2400,80.0,50.0,2.0
300,2600,80.0,50.0,2.0
900,600,240.0,50.0,2.0
900,700,240.0,50.0,2.0
900,800,240.0,50.0,2.0
900,900,240.0,50.0,2.0
900,1000,240.0,50.0,2.0
900,1200,240.0,50.0,2.0
900,1400,240.0,50.0,2.0
1350,600,240.0,50.0,2.0
1350,800,240.0,50.0,2.0
1350,1000,240.0,50.0,2.0
1350,1200,240.0,50.0,2.0
1350,1400,240.0,50.0,2.0
1350,1500,240.0,50.0,2.0
1350,1600,240.0,50.0,2.0
1350,1800,240.0,50.0,2.0
1350,2000,240.0,50.0,2.0
1800,800,240.0,50.0,2.0
1800,1000,240.0,50.0,2.0
1800,1200,240.0,50.0,2.0
1800,1400,240.0,50.0,2.0
1800,1600,240.0,50.0,2.0
1800,1800,240.0,50.0,2.0
1800,2000,240.0,50.0,2.0
1800,2200,240.0,50.0,2.0
1800,2400,240.0,50.0,2.0
170,1100,100.0,20.0,2.0
170,1200,100.0,20.0,2.0
170,1300,100.0,20.0,2.0
195,900,100.0,20.0,2.0
195,1000,100.0,20.0,2.0
195,1100,100.0,20.0,2.0
195,1200,100.0,20.0,2.0
195,1300,100.0,20.0,2.0
220,900,100.0,20.0,2.0
220,1000,100.0,20.0,2.0
220,1100,100.0,20.0,2.0
220,1200,100.0,20.0,2.0
220,1300,100.0,20.0,2.0
2700,1200,240.0,50.0,3.0
2700,1400,240.0,50.0,3.0
2700,1600,240.0,50.0,3.0
2700,1800,240.0,50.0,3.0
2700,2000,240.0,50.0,3.0
2700,2200,240.0,50.0,3.0
2700,2400,240.0,50.0,3.0
2700,2600,240.0,50.0,3.0
2700,1200,240.0,50.0,3.0
2700,1400,240.0,50.0,3.0
2700,1600,240.0,50.0,3.0
2700,1800,240.0,50.0,3.0
2700,2000,240.0,50.0,3.0
2700,2200,240.0,50.0,3.0
2700,2400,240.0,50.0,3.0
2700,2600,240.0,50.0,3.0
