Power,Velocity,beam D,layer thickness,depth of melt pool
450.0,50.0,500.0,100.0,247.32
100.0,1500.0,35.0,20.0,30.0
100.0,2000.0,35.0,17.0,25.5
100.0,2500.0,35.0,16.0,24.0
150.0,1500.0,35.0,25.0,37.5
150.0,2000.0,35.0,22.66666667,34.0
150.0,2500.0,35.0,20.0,30.0
200.0,1000.0,35.0,35.0,55.0
200.0,2000.0,35.0,25.0,37.5
200.0,2500.0,35.0,23.33333333,35.0
250.0,1500.0,35.0,33.33333333,50.0
250.0,2000.0,35.0,27.66666667,41.5
250.0,2500.0,35.0,25.0,37.5
300.0,1000.0,35.0,43.33333333,65.0
300.0,1500.0,35.0,36.0,54.0
300.0,2000.0,35.0,30.66666667,46.0
300.0,2500.0,35.0,27.33333333,41.0
100.0,400.0,37.5,30.0,129.28
100.0,500.0,37.5,30.0,98.86
100.0,600.0,37.5,30.0,75.14
100.0,1000.0,37.5,30.0,46.14
100.0,1100.0,37.5,30.0,28.86
200.0,400.0,37.5,30.0,305.71
200.0,500.0,37.5,30.0,287.71
200.0,600.0,37.5,30.0,265.86
200.0,700.0,37.5,30.0,198.86
200.0,800.0,37.5,30.0,128.43
200.0,900.0,37.5,30.0,144.0
200.0,1000.0,37.5,30.0,97.86
200.0,1100.0,37.5,30.0,84.14
300.0,500.0,37.5,30.0,469.43
300.0,600.0,37.5,30.0,445.14
300.0,700.0,37.5,30.0,360.86
300.0,800.0,37.5,30.0,350.43
300.0,900.0,37.5,30.0,305.0
300.0,1000.0,37.5,30.0,227.71
300.0,1100.0,37.5,30.0,201.14
400.0,400.0,37.5,30.0,749.71
400.0,500.0,37.5,30.0,623.71
400.0,600.0,37.5,30.0,532.57
400.0,700.0,37.5,30.0,496.86
400.0,800.0,37.5,30.0,454.57
400.0,900.0,37.5,30.0,409.86
400.0,1000.0,37.5,30.0,356.86
400.0,1100.0,37.5,30.0,313.57
500.0,400.0,37.5,30.0,911.43
500.0,500.0,37.5,30.0,885.86
500.0,600.0,37.5,30.0,799.29
500.0,700.0,37.5,30.0,721.57
500.0,800.0,37.5,30.0,648.0
500.0,900.0,37.5,30.0,555.57
500.0,1000.0,37.5,30.0,444.43
500.0,1100.0,37.5,30.0,287.57
600.0,900.0,37.5,30.0,637.14
600.0,1000.0,37.5,30.0,335.14
600.0,1100.0,37.5,30.0,274.57
100.0,800.0,50.0,50.0,150.0
50.0,100.0,52.0,50.0,150.0
50.0,200.0,52.0,50.0,100.0
50.0,500.0,52.0,50.0,80.0
70.0,700.0,52.0,50.0,70.0
100.0,100.0,52.0,50.0,250.0
100.0,200.0,52.0,50.0,210.0
100.0,250.0,52.0,50.0,190.0
100.0,320.0,52.0,50.0,140.0
100.0,550.0,52.0,50.0,140.0
100.0,750.0,52.0,50.0,100.0
100.0,1000.0,52.0,50.0,70.0
100.0,1300.0,52.0,50.0,50.0
110.0,250.0,52.0,50.0,150.0
110.0,500.0,52.0,50.0,110.0
110.0,900.0,52.0,50.0,80.0
115.0,400.0,52.0,50.0,150.0
120.0,200.0,52.0,50.0,250.0
125.0,220.0,52.0,50.0,230.0
120.0,270.0,52.0,50.0,150.0
120.0,320.0,52.0,50.0,120.0
120.0,700.0,52.0,50.0,90.0
120.0,1600.0,52.0,50.0,20.0
120.0,2600.0,52.0,50.0,10.0
130.0,150.0,52.0,50.0,330.0
130.0,400.0,52.0,50.0,150.0
130.0,1000.0,52.0,50.0,45.0
130.0,2300.0,52.0,50.0,10.0
150.0,150.0,52.0,50.0,380.0
150.0,200.0,52.0,50.0,350.0
150.0,220.0,52.0,50.0,300.0
150.0,300.0,52.0,50.0,200.0
150.0,500.0,52.0,50.0,104.0
150.0,800.0,52.0,50.0,63.0
150.0,1200.0,52.0,50.0,37.0
150.0,1500.0,52.0,50.0,30.0
146.0,1600.0,52.0,50.0,28.0
154.0,1700.0,52.0,50.0,25.0
140.0,2000.0,52.0,50.0,18.0
150.0,2200.0,52.0,50.0,15.0
150.0,2800.0,52.0,50.0,10.0
170.0,1200.0,52.0,50.0,80.0
175.0,550.0,52.0,50.0,200.0
175.0,1000.0,52.0,50.0,90.0
185.0,970.0,52.0,50.0,85.0
180.0,1200.0,52.0,50.0,70.0
180.0,1600.0,52.0,50.0,50.0
180.0,2600.0,52.0,50.0,15.0
190.0,2200.0,52.0,50.0,40.0
200.0,200.0,52.0,50.0,470.0
200.0,220.0,52.0,50.0,420.0
200.0,250.0,52.0,50.0,350.0
200.0,450.0,52.0,50.0,250.0
200.0,500.0,52.0,50.0,179.0
200.0,600.0,52.0,50.0,130.0
200.0,800.0,52.0,50.0,106.0
195.0,900.0,52.0,50.0,90.0
200.0,1250.0,52.0,50.0,62.0
200.0,1500.0,52.0,50.0,43.0
200.0,2000.0,52.0,50.0,25.0
200.0,3000.0,52.0,50.0,10.0
220.0,600.0,52.0,50.0,150.0
220.0,800.0,52.0,50.0,130.0
220.0,1200.0,52.0,50.0,90.0
220.0,2750.0,52.0,50.0,15.0
240.0,1300.0,52.0,50.0,90.0
240.0,2200.0,52.0,50.0,30.0
240.0,2700.0,52.0,50.0,20.0
240.0,3000.0,52.0,50.0,10.0
250.0,220.0,52.0,50.0,560.0
250.0,250.0,52.0,50.0,500.0
250.0,300.0,52.0,50.0,400.0
250.0,600.0,52.0,50.0,250.0
250.0,1400.0,52.0,50.0,80.0
250.0,2500.0,52.0,50.0,30.0
260.0,2900.0,52.0,50.0,15.0
270.0,1400.0,52.0,50.0,100.0
280.0,1100.0,52.0,50.0,150.0
280.0,1250.0,52.0,50.0,120.0
280.0,2000.0,52.0,50.0,50.0
290.0,1000.0,52.0,50.0,150.0
290.0,1450.0,52.0,50.0,100.0
290.0,2250.0,52.0,50.0,20.0
290.0,2700.0,52.0,50.0,15.0
300.0,800.0,52.0,50.0,207.0
300.0,1200.0,52.0,50.0,76.0
300.0,1500.0,52.0,50.0,86.0
300.0,1800.0,52.0,50.0,58.0
310.0,2200.0,52.0,50.0,40.0
350.0,1600.0,52.0,50.0,48.0
360.0,2600.0,52.0,50.0,40.0
400.0,1200.0,52.0,50.0,183.0
400.0,1500.0,52.0,50.0,137.0
400.0,1800.0,52.0,50.0,90.0
400.0,2900.0,52.0,50.0,50.0
400.0,1800.0,54.0,30.0,105.0
400.0,1500.0,54.0,30.0,119.0
400.0,1200.0,54.0,30.0,182.0
300.0,1800.0,54.0,30.0,65.0
300.0,1500.0,54.0,30.0,94.0
300.0,1200.0,54.0,30.0,114.0
300.0,800.0,54.0,30.0,175.0
200.0,1500.0,54.0,30.0,57.0
200.0,1200.0,54.0,30.0,68.0
200.0,800.0,54.0,30.0,116.0
200.0,500.0,54.0,30.0,195.0
150.0,1200.0,54.0,30.0,30.0
150.0,800.0,54.0,30.0,67.0
150.0,500.0,54.0,30.0,120.0
400.0,1800.0,54.0,50.0,90.0
400.0,1500.0,54.0,50.0,137.0
400.0,1200.0,54.0,50.0,183.0
300.0,1800.0,54.0,50.0,58.0
300.0,1500.0,54.0,50.0,86.0
300.0,1200.0,54.0,50.0,76.0
300.0,800.0,54.0,50.0,207.0
200.0,1500.0,54.0,50.0,43.0
200.0,1200.0,54.0,50.0,62.0
200.0,800.0,54.0,50.0,106.0
200.0,500.0,54.0,50.0,179.0
150.0,1200.0,54.0,50.0,37.0
150.0,800.0,54.0,50.0,63.0
150.0,500.0,54.0,50.0,104.0
175.0,500.0,70.0,30.0,78.0
400.0,1100.0,70.0,30.0,112.0
100.0,100.0,70.0,50.0,58.0
125.0,400.0,70.0,50.0,40.0
125.0,300.0,70.0,50.0,49.0
125.0,200.0,70.0,50.0,95.0
125.0,100.0,70.0,50.0,44.0
150.0,300.0,70.0,50.0,106.0
150.0,200.0,70.0,50.0,140.0
150.0,100.0,70.0,50.0,195.0
175.0,200.0,70.0,50.0,80.0
175.0,100.0,70.0,50.0,120.0
200.0,400.0,70.0,50.0,86.0
200.0,300.0,70.0,50.0,83.0
200.0,200.0,70.0,50.0,91.0
200.0,100.0,70.0,50.0,165.0
200.0,1150.0,90.0,30.0,90.0
200.0,1300.0,90.0,30.0,68.0
200.0,1450.0,90.0,30.0,72.0
50.0,130.0,95.0,50.0,20.0
50.0,160.0,95.0,50.0,20.0
50.0,220.0,95.0,50.0,20.0
50.0,250.0,95.0,50.0,20.0
50.0,280.0,95.0,50.0,20.0
50.0,310.0,95.0,50.0,20.0
50.0,340.0,95.0,50.0,20.0
50.0,370.0,95.0,50.0,20.0
50.0,400.0,95.0,50.0,20.0
80.0,100.0,95.0,50.0,60.0
80.0,130.0,95.0,50.0,60.0
80.0,160.0,95.0,50.0,60.0
80.0,180.0,95.0,50.0,60.0
80.0,220.0,95.0,50.0,60.0
80.0,280.0,95.0,50.0,60.0
80.0,310.0,95.0,50.0,60.0
80.0,370.0,95.0,50.0,60.0
80.0,400.0,95.0,50.0,60.0
120.0,100.0,95.0,50.0,90.0
120.0,130.0,95.0,50.0,90.0
120.0,160.0,95.0,50.0,90.0
120.0,180.0,95.0,50.0,90.0
120.0,250.0,95.0,50.0,90.0
120.0,280.0,95.0,50.0,90.0
120.0,370.0,95.0,50.0,90.0
120.0,400.0,95.0,50.0,90.0
150.0,100.0,95.0,50.0,130.0
150.0,160.0,95.0,50.0,130.0
150.0,180.0,95.0,50.0,130.0
150.0,220.0,95.0,50.0,130.0
150.0,250.0,95.0,50.0,130.0
150.0,280.0,95.0,50.0,130.0
150.0,340.0,95.0,50.0,130.0
150.0,370.0,95.0,50.0,130.0
180.0,130.0,95.0,50.0,160.0
180.0,180.0,95.0,50.0,160.0
180.0,250.0,95.0,50.0,160.0
180.0,310.0,95.0,50.0,160.0
180.0,340.0,95.0,50.0,160.0
180.0,400.0,95.0,50.0,160.0
220.0,250.0,95.0,50.0,200.0
220.0,280.0,95.0,50.0,200.0
220.0,370.0,95.0,50.0,200.0
220.0,400.0,95.0,50.0,200.0
250.0,100.0,95.0,50.0,235.0
250.0,130.0,95.0,50.0,235.0
250.0,220.0,95.0,50.0,235.0
250.0,310.0,95.0,50.0,235.0
250.0,340.0,95.0,50.0,235.0
250.0,370.0,95.0,50.0,235.0
275.0,130.0,95.0,50.0,270.0
275.0,250.0,95.0,50.0,270.0
275.0,310.0,95.0,50.0,270.0
275.0,340.0,95.0,50.0,270.0
320.0,130.0,95.0,50.0,310.0
320.0,370.0,95.0,50.0,310.0
320.0,400.0,95.0,50.0,310.0
350.0,100.0,95.0,50.0,340.0
350.0,370.0,95.0,50.0,340.0
350.0,400.0,95.0,50.0,340.0
60.0,90.90909091,100.0,30.0,24.0
60.0,37.03703704,100.0,30.0,36.0
60.0,35.0877193,100.0,30.0,49.0
150.0,968.9922481,116.0,40.0,81.0
150.0,672.0430108,116.0,40.0,113.8
150.0,527.4261603,116.0,40.0,117.4
200.0,1291.989664,116.0,40.0,107.72
200.0,896.0573477,116.0,40.0,148.6
200.0,703.2348805,116.0,40.0,136.9
250.0,1614.98708,116.0,40.0,113.5
250.0,1120.071685,116.0,40.0,153.64
250.0,879.0436006,116.0,40.0,198.45
100.0,1.67,200.0,50.0,514.0
150.0,1.67,200.0,50.0,713.0
200.0,1.67,200.0,50.0,719.0
200.0,3.3,200.0,50.0,447.0
200.0,5.0,200.0,50.0,514.0
200.0,1.67,200.0,50.0,431.0
200.0,1.67,200.0,50.0,1187.0
