Power,Velocity,beam D,layer thickness,Hatch spacing,defect_label,material
450.0,50.0,500.0,100.0,400.0,3,SS316L
200.0,800.0,50.0,50.0,62.5,2,SS316L
250.0,356.5062389,187.0,50.0,216.0,1,SS316L
82.5,100.0,100.0,50.0,240.0,1,SS316L
45.0,1900.0,0.08,0.04,0.068,1,SS17-4PH
2700.0,2400.0,240.0,50.0,140.0,3,SS17-4PH
407.9518,800.0,74.0,40.0,55.0,3,IN718
150.0,500.0,35.0,43.33333333,130.0,0,SS316L
200.0,200.0,100.0,60.0,90.0,3,IN718
500.0,3500.0,100.0,20.0,70.0,0,SS17-4PH
100.0,200.0,70.0,50.0,150.0,1,SS316L
82.5,130.0,100.0,50.0,205.0,1,SS316L
297.9023,1400.0,74.0,25.0,51.8,3,IN718
50.0,53.76344086,248.0,50.0,286.0,1,SS316L
100.0,200.0,100.0,70.0,500.0,0,IN718
900.0,500.0,240.0,50.0,216.0,0,SS17-4PH
250.0,100.0,35.0,125.0,375.0,0,SS316L
342.5,370.0,100.0,50.0,300.0,1,SS316L
212.5,310.0,100.0,50.0,90.0,1,SS316L
180.0,200.0,50.0,25.0,40.0,3,IN718
45.0,400.0,80.0,40.0,64.0,1,SS17-4PH
100.0,900.0,80.0,50.0,24.0,0,SS17-4PH
130.0,3400.0,0.085,0.03,0.0595,1,SS17-4PH
310.0,280.0,100.0,50.0,90.0,0,SS316L
375.0,370.0,100.0,50.0,145.0,0,SS316L
100.0,100.0,35.0,80.0,240.0,0,SS316L
200.0,1200.0,80.0,50.0,64.0,1,SS17-4PH
250.0,250.0,74.0,40.0,66.6,3,IN718
99.3784,300.0,59.0,0.04,0.05,3,SS316L
250.0,1000.0,74.0,40.0,40.0,3,IN718
375.0,370.0,95.0,50.0,76.0,3,SS316L
300.0,1054.852321,116.0,40.0,90.0,3,SS316L
99.3784,700.0,59.0,20.0,41.3,3,SS316L
300.0,1400.0,100.0,33.48,80.0,2,IN718
1800.0,1000.0,240.0,50.0,450.0,2,SS17-4PH
400.0,3500.0,50.0,30.0,35.0,0,SS17-4PH
310.0,220.0,100.0,50.0,235.0,0,SS316L
750.0,4000.0,50.0,30.0,35.0,3,SS17-4PH
180.0,600.0,700.0,100.0,103.0,1,IN718
1800.0,1600.0,240.0,50.0,265.0,2,SS17-4PH
1800.0,2000.0,240.0,50.0,0.21,2,SS17-4PH
213.8344,500.0,59.0,40.0,47.2,3,SS316L
212.5,160.0,100.0,50.0,0.22,0,SS316L
150.0,213.9037433,187.0,50.0,215.795528,1,SS316L
297.9023,1200.0,74.0,29.5,52.0,3,IN718
170.0,1200.0,100.0,20.0,90.0,2,SS17-4PH
160.0,1500.0,50.0,25.0,40.0,0,SS17-4PH
300.0,1400.0,100.0,70.0,500.0,2,IN718
175.0,500.0,70.0,50.0,120.0,1,SS316L
150.0,2000.0,35.0,22.66666667,68.0,0,SS316L
375.0,370.0,200.0,50.0,170.0,0,SS316L
300.0,2400.0,80.0,50.0,31.25,2,SS17-4PH
150.0,1000.0,100.0,70.0,500.0,1,IN718
245.0,160.0,100.0,50.0,240.0,0,SS316L
150.0,2200.0,90.0,40.0,72.0,1,IN718
300.0,2500.0,50.0,30.0,40.0,0,SS17-4PH
245.0,100.0,100.0,50.0,90.0,3,SS316L
150.0,600.0,100.0,30.0,70.0,0,IN718
407.9518,1200.0,74.0,35.0,51.8,3,IN718
250.0,1100.0,50.0,50.0,40.0,0,SS17-4PH
147.5,190.0,100.0,50.0,240.0,1,SS316L
325.0,280.0,100.0,50.0,90.0,0,SS316L
200.0,250.0,74.0,40.0,59.2,3,IN718
250.0,100.0,74.0,40.0,59.2,3,IN718
407.9518,1000.0,74.0,40.0,59.2,3,IN718
200.0,100.0,78.0,50.0,54.6,3,SS316L
60.0,0.6,45.0,25.0,100.0,0,SS316L
350.0,2260.981912,116.0,40.0,90.0,3,SS316L
242.4484,600.0,74.0,40.0,60.0,3,IN718
250.0,3800.0,50.0,40.0,40.0,1,SS17-4PH
200.0,100.0,74.0,40.0,59.2,3,IN718
150.0,2500.0,35.0,20.0,60.0,0,SS316L
300.0,1600.0,80.0,50.0,46.875,2,SS17-4PH
220.0,2400.0,70.0,20.0,49.0,0,SS316L
45.0,1400.0,90.0,40.0,72.0,1,SS316L
250.0,161.2903226,248.0,50.0,480.0,1,SS316L
250.0,1200.0,100.0,70.0,500.0,2,IN718
245.0,400.0,100.0,50.0,200.0,1,SS316L
225.0,1500.0,0.07,40.0,0.049,2,IN718
375.0,370.0,95.0,50.0,76.0,3,SS316L
150.0,80.0,500.0,100.0,0.35,1,SS316L
150.0,200.0,100.0,70.0,500.0,3,IN718
220.0,1400.0,70.0,20.0,49.0,3,SS316L
100.0,1000.0,80.0,50.0,20.0,0,SS17-4PH
200.0,1200.0,100.0,26.0,80.0,2,IN718
200.0,100.0,35.0,112.3333333,337.0,0,SS316L
277.5,370.0,100.0,50.0,230.0,1,SS316L
180.0,370.0,100.0,50.0,108.1,2,SS316L
300.0,1500.0,80.0,40.0,62.5,2,IN718
170.0,700.0,100.0,20.0,90.0,0,SS17-4PH
147.5,100.0,100.0,50.0,215.0,0,SS316L
300.0,1800.0,80.0,50.0,41.67,2,SS17-4PH
300.0,1500.0,35.0,36.0,108.0,0,SS316L
277.5,340.0,100.0,50.0,250.0,1,SS316L
120.0,1900.0,50.0,30.0,40.0,1,SS17-4PH
250.0,1000.0,100.0,30.0,80.0,0,IN718
120.0,400.0,50.0,40.0,45.0,3,SS17-4PH
450.0,145.1612903,248.0,50.0,223.2,0,SS316L
1800.0,1400.0,240.0,50.0,300.0,2,SS17-4PH
187.8529,1000.0,74.0,20.0,52.0,3,IN718
230.0,1300.0,100.0,0.02,0.05,3,IN718
277.5,250.0,100.0,50.0,185.0,0,SS316L
115.0,160.0,100.0,50.0,240.0,1,SS316L
150.0,800.0,100.0,70.0,500.0,0,IN718
200.0,400.0,100.0,70.0,500.0,3,IN718
100.0,2000.0,35.0,17.0,51.0,0,SS316L
350.0,187.1657754,187.0,50.0,312.0,0,SS316L
300.0,1200.0,100.0,30.0,80.0,0,SS17-4PH
620.0,5000.0,50.0,20.0,35.0,3,SS17-4PH
220.0,800.0,100.0,20.0,0.1,0,SS17-4PH
187.8529,200.0,74.0,60.0,66.0,3,IN718
195.0,1000.0,100.0,20.0,0.12,2,SS17-4PH
250.0,80.0,500.0,100.0,0.45,1,SS316L
282.508,960.0,74.0,30.0,55.5,3,IN718
310.0,400.0,100.0,50.0,230.0,1,SS316L
750.0,6000.0,50.0,20.0,35.0,3,SS17-4PH
380.0,5800.0,50.0,20.0,40.0,2,SS17-4PH
277.5,370.0,100.0,50.0,231.0,1,SS316L
285.0,960.0,74.0,40.0,51.8,3,IN718
212.5,220.0,100.0,50.0,0.3,1,SS316L
375.0,400.0,95.0,50.0,76.0,3,SS316L
230.0,1300.0,100.0,0.02,0.06,3,IN718
1350.0,1600.0,240.0,50.0,200.0,2,SS17-4PH
375.0,220.0,95.0,50.0,76.0,3,SS316L
130.0,1400.0,0.07,0.02,0.049,3,SS17-4PH
150.0,100.0,35.0,97.33333333,292.0,0,SS316L
195.0,800.0,100.0,20.0,0.09,0,SS17-4PH
300.0,100.0,35.0,133.3333333,400.0,0,SS316L
600.0,500.0,37.5,30.0,105.0,3,SS316L
99.3784,500.0,59.0,26.0,47.2,3,SS316L
242.4484,1400.0,74.0,20.0,51.8,3,IN718
150.0,1200.0,100.0,30.0,80.0,1,IN718
100.0,1400.0,80.0,50.0,64.0,1,SS17-4PH
1800.0,1000.0,240.0,50.0,216.0,2,SS17-4PH
400.0,2000.0,100.0,25.0,80.0,0,SS17-4PH
200.0,400.0,55.0,75.0,40.0,3,SS316L
150.0,200.0,100.0,70.0,500.0,3,IN718
100.0,300.0,55.0,75.0,41.0,0,SS316L
200.0,850.0,90.0,30.0,90.0,3,SS316L
1350.0,2000.0,240.0,50.0,170.0,2,SS17-4PH
195.0,700.0,100.0,20.0,0.1,0,SS17-4PH
80.0,600.0,50.0,60.0,45.0,1,SS17-4PH
1350.0,1500.0,240.0,50.0,216.0,2,SS17-4PH
1800.0,2400.0,240.0,50.0,187.5,2,SS17-4PH
300.0,2000.0,80.0,50.0,40.0,2,SS17-4PH
300.0,2200.0,80.0,40.0,64.0,1,IN718
180.0,800.0,50.0,25.0,40.0,3,IN718
195.0,1300.0,100.0,20.0,90.0,2,SS17-4PH
325.0,100.0,100.0,50.0,90.0,0,SS316L
300.0,2000.0,100.0,20.0,75.0,0,SS17-4PH
150.0,1200.0,100.0,40.0,90.0,1,IN718
350.0,190.0,100.0,50.0,90.0,0,SS316L
150.0,800.0,80.0,50.0,40.0,0,SS17-4PH
1350.0,1200.0,240.0,50.0,265.0,2,SS17-4PH
220.0,2400.0,80.0,26.0,64.0,1,SS17-4PH
277.5,280.0,100.0,50.0,305.0,1,SS316L
250.0,1000.0,35.0,40.0,120.0,0,SS316L
2700.0,1800.0,240.0,50.0,180.0,3,SS17-4PH
200.0,400.0,100.0,40.0,80.0,3,IN718
150.0,1200.0,90.0,40.0,81.0,1,IN718
150.0,1200.0,100.0,70.0,500.0,1,IN718
242.4484,1000.0,74.0,25.0,51.8,3,IN718
75.0,800.0,90.0,40.0,72.0,1,IN718
220.0,1300.0,100.0,20.0,90.0,2,SS17-4PH
450.0,1224.489796,98.0,50.0,73.52941176,0,SS316L
380.0,1400.0,50.0,40.0,40.0,3,SS17-4PH
220.0,1800.0,100.0,20.0,60.0,0,SS17-4PH
550.0,4000.0,100.0,20.0,70.0,0,SS17-4PH
300.0,1400.0,80.0,50.0,60.0,2,SS17-4PH
245.0,370.0,100.0,50.0,200.0,1,SS316L
150.0,1400.0,80.0,50.0,72.0,1,SS17-4PH
310.0,100.0,100.0,50.0,80.0,3,SS316L
225.0,800.0,80.0,40.0,64.0,0,IN718
550.0,3000.0,100.0,27.0,70.0,0,SS17-4PH
132.8568,400.0,74.0,30.0,51.8,3,IN718
407.9518,1000.0,74.0,40.0,62.0,3,IN718
282.508,960.0,74.0,30.0,56.0,3,IN718
150.0,800.0,70.0,40.0,49.0,0,IN718
100.0,600.0,100.0,40.0,80.0,1,IN718
350.0,160.0,0.1,50.0,0.09,0,SS316L
245.0,190.0,100.0,50.0,90.0,0,SS316L
375.0,340.0,95.0,50.0,85.5,3,SS316L
1350.0,1400.0,240.0,50.0,216.0,2,SS17-4PH
212.5,340.0,100.0,50.0,208.3,1,SS316L
900.0,700.0,240.0,50.0,320.0,2,SS17-4PH
370.0,800.0,100.0,70.0,500.0,3,IN718
150.0,800.0,70.0,40.0,49.0,0,IN718
200.0,2000.0,35.0,25.0,75.0,0,SS316L
277.5,130.0,100.0,50.0,90.0,3,SS316L
212.5,160.0,100.0,50.0,200.0,0,SS316L
100.0,150.0,55.0,75.0,45.0,3,SS316L
200.0,2500.0,35.0,23.33333333,70.0,0,SS316L
150.0,500.0,70.0,50.0,90.0,1,SS316L
375.0,250.0,100.0,50.0,250.0,0,SS316L
245.0,250.0,100.0,50.0,300.0,1,SS316L
900.0,600.0,240.0,50.0,375.0,2,SS17-4PH
900.0,400.0,240.0,50.0,0.36,0,SS17-4PH
150.0,100.0,35.0,97.33333333,292.0,0,SS316L
375.0,340.0,100.0,50.0,200.0,0,SS316L
1800.0,2200.0,240.0,50.0,204.5,2,SS17-4PH
200.0,2000.0,80.0,50.0,56.0,2,SS17-4PH
250.0,5000.0,50.0,0.04,0.04,1,SS17-4PH
245.0,100.0,100.0,50.0,80.0,3,SS316L
370.0,1200.0,100.0,70.0,500.0,2,IN718
620.0,4000.0,50.0,0.03,0.035,3,SS17-4PH
45.0,2900.0,90.0,40.0,72.0,1,SS17-4PH
250.0,800.0,50.0,50.0,40.0,3,SS17-4PH
750.0,5000.0,50.0,20.0,35.0,3,SS17-4PH
200.0,2000.0,35.0,25.0,75.0,0,SS316L
900.0,1200.0,240.0,50.0,187.5,2,SS17-4PH
242.4484,1000.0,74.0,20.0,52.0,3,IN718
375.0,280.0,280.0,50.0,225.0,0,SS316L
375.0,160.0,100.0,50.0,80.0,3,SS316L
550.0,448.9795918,98.0,50.0,78.4,3,SS316L
170.0,400.0,100.0,70.0,500.0,3,IN718
100.0,400.0,80.0,50.0,50.0,0,SS17-4PH
250.0,1100.0,100.0,0.02,0.07,3,IN718
352.9557,1400.0,74.0,25.0,59.2,3,IN718
220.0,900.0,100.0,20.0,150.0,2,SS17-4PH
130.0,400.0,0.09,0.03,0.0675,3,SS316L
450.0,20.0,500.0,100.0,400.0,3,SS316L
300.0,1500.0,50.0,40.0,45.0,0,SS17-4PH
300.0,1937.984496,116.0,40.0,90.0,3,SS316L
200.0,850.0,90.0,30.0,90.0,3,SS316L
100.0,600.0,80.0,50.0,35.0,0,SS17-4PH
100.0,800.0,37.5,30.0,105.0,0,SS316L
277.5,280.0,100.0,50.0,300.0,1,SS316L
408.4096,300.0,59.0,0.06,0.0531,3,SS316L
310.0,250.0,100.0,50.0,0.19,0,SS316L
250.0,600.0,100.0,70.0,500.0,0,IN718
115.0,160.0,100.0,50.0,210.0,1,SS316L
150.0,122.4489796,98.0,50.0,200.0,0,SS316L
130.0,1900.0,0.085,0.04,0.064,1,SS316L
195.0,1100.0,100.0,20.0,110.0,2,SS17-4PH
310.0,340.0,100.0,50.0,280.0,1,SS316L
300.0,1000.0,100.0,70.0,500.0,2,IN718
1800.0,2400.0,240.0,50.0,0.1875,2,SS17-4PH
408.4096,300.0,59.0,0.06,0.0531,3,SS316L
150.0,1600.0,80.0,50.0,64.0,1,SS17-4PH
220.0,1000.0,100.0,30.0,80.0,0,SS17-4PH
100.0,1000.0,100.0,70.0,500.0,1,IN718
375.0,190.0,100.0,50.0,90.0,0,SS316L
100.0,700.0,37.5,30.0,105.0,0,SS316L
325.0,370.0,0.159,50.0,0.135,0,SS316L
245.0,280.0,100.0,50.0,270.0,1,SS316L
100.0,600.0,100.0,70.0,500.0,1,IN718
130.0,400.0,90.0,28.2,72.0,3,SS17-4PH
450.0,181.4516129,248.0,50.0,223.2,0,SS316L
375.0,160.0,100.0,50.0,80.0,3,SS316L
50.0,32.25806452,248.0,50.0,0.5,1,SS316L
375.0,400.0,213.07,50.0,170.45,0,SS316L
150.0,1000.0,100.0,70.0,500.0,1,IN718
300.0,2500.0,35.0,27.33333333,82.0,0,SS316L
250.0,213.9037433,187.0,50.0,0.3895833333,1,SS316L
352.9557,1000.0,74.0,35.0,59.2,3,IN718
180.0,280.0,100.0,50.0,200.0,1,SS316L
132.8568,1200.0,74.0,15.0,51.8,3,IN718
213.8344,300.0,59.0,50.0,47.2,3,SS316L
180.0,280.0,100.0,50.0,200.0,1,SS316L
132.8568,1200.0,74.0,20.0,37.0,3,IN718
250.0,80.64516129,248.0,50.0,500.0,0,SS316L
300.0,2900.0,0.08,0.02,0.032,3,SS17-4PH
250.0,2000.0,35.0,27.66666667,83.0,0,SS316L
250.0,680.2721088,98.0,50.0,113.0,1,SS316L
245.0,340.0,100.0,50.0,220.0,1,SS316L
45.0,400.0,0.09,0.03,0.072,1,SS316L
250.0,268.8172043,248.0,50.0,300.0,1,SS316L
150.0,1500.0,35.0,25.0,75.0,0,SS316L
50.0,42.78074866,187.0,50.0,0.39,1,SS316L
300.0,2000.0,35.0,30.66666667,92.0,0,SS316L
250.0,204.0816327,98.0,50.0,70.0,3,SS316L
299.6764,700.0,59.0,50.0,50.15,3,SS316L
115.0,220.0,100.0,50.0,160.0,1,SS316L
2700.0,2000.0,240.0,50.0,168.8,3,SS17-4PH
150.0,400.0,70.0,50.0,120.0,1,SS316L
299.6764,500.0,59.0,60.0,50.0,3,SS316L
352.9557,400.0,74.0,60.0,66.6,3,IN718
352.9557,1000.0,74.0,40.0,52.0,3,IN718
342.5,250.0,100.0,50.0,219.2,0,SS316L
180.0,400.0,700.0,100.0,103.0,1,IN718
100.0,900.0,37.5,30.0,105.0,0,SS316L
342.5,400.0,100.0,50.0,300.0,1,SS316L
140.0,950.0,100.0,20.0,50.0,3,IN718
620.0,1900.0,50.0,50.0,35.0,3,SS17-4PH
600.0,500.0,37.5,30.0,105.0,3,SS316L
150.0,2000.0,80.0,50.0,64.0,1,SS17-4PH
375.0,220.0,100.0,50.0,90.0,0,SS316L
100.0,1500.0,35.0,20.0,60.0,0,SS316L
240.0,800.0,100.0,70.0,500.0,0,IN718
180.0,130.0,100.0,50.0,230.0,0,SS316L
300.0,100.0,35.0,133.3333333,400.0,0,SS316L
220.0,1900.0,70.0,15.0,49.0,3,SS17-4PH
180.0,200.0,50.0,25.0,40.0,3,IN718
130.0,2900.0,80.0,40.0,64.0,1,SS17-4PH
50.0,136.0544218,98.0,50.0,110.0,1,SS316L
250.0,255.1020408,98.0,50.0,160.0,0,SS316L
100.0,1000.0,35.0,25.0,75.0,0,SS316L
2700.0,2600.0,240.0,50.0,0.125,3,SS17-4PH
880.0,3200.0,50.0,40.0,40.0,3,SS17-4PH
277.5,100.0,100.0,50.0,80.0,3,SS316L
350.0,310.0,95.0,50.0,85.5,0,SS316L
212.5,400.0,100.0,50.0,160.0,1,SS316L
220.0,900.0,0.08,0.02,0.056,3,SS17-4PH
180.0,310.0,100.0,50.0,180.0,1,SS316L
325.0,340.0,180.0,50.0,144.0,0,SS316L
300.0,600.0,100.0,50.0,80.0,0,IN718
350.0,376.344086,248.0,50.0,310.0,1,SS316L
1000.0,10000.0,50.0,32.0,40.0,2,SS17-4PH
245.0,160.0,100.0,50.0,218.75,0,SS316L
100.0,400.0,100.0,30.0,80.0,0,IN718
370.0,1400.0,100.0,40.0,80.0,2,IN718
400.0,3000.0,50.0,30.0,40.0,0,SS17-4PH
150.0,2000.0,80.0,50.0,68.0,1,SS17-4PH
200.0,800.0,100.0,35.0,70.0,0,IN718
132.8568,1400.0,74.0,20.0,29.0,3,IN718
150.0,600.0,70.0,50.0,75.0,1,SS316L
100.0,150.0,55.0,75.0,45.0,3,SS316L
1800.0,1200.0,240.0,50.0,375.0,2,SS17-4PH
180.0,160.0,100.0,50.0,160.714,0,SS316L
1800.0,1800.0,240.0,50.0,240.0,2,SS17-4PH
70.0,0.6,45.0,25.0,100.0,3,SS316L
100.0,300.0,70.0,50.0,0.1111,1,SS316L
100.0,700.0,80.0,50.0,31.7,0,SS17-4PH
300.0,2500.0,0.08,40.0,0.056,1,IN718
277.5,220.0,100.0,50.0,220.0,0,SS316L
250.0,100.0,78.0,50.0,70.2,3,SS316L
180.0,400.0,100.0,50.0,112.5,2,SS316L
170.0,585.0,100.0,0.021,0.08,3,IN718
900.0,900.0,240.0,50.0,222.0,2,SS17-4PH
400.0,800.0,50.0,50.0,125.0,2,SS316L
600.0,700.0,37.5,30.0,105.0,3,SS316L
250.0,500.0,74.0,40.0,59.2,3,IN718
550.0,354.8387097,248.0,50.0,223.2,0,SS316L
300.0,250.0,74.0,40.0,66.6,3,IN718
120.0,800.0,50.0,50.0,45.0,1,SS17-4PH
310.0,160.0,100.0,50.0,300.0,0,SS316L
550.0,470.5882353,187.0,50.0,168.3,0,SS316L
147.5,160.0,100.0,50.0,283.65,1,SS316L
150.0,600.0,100.0,70.0,500.0,0,IN718
200.0,1600.0,80.0,50.0,0.03125,2,SS17-4PH
180.0,100.0,100.0,50.0,300.0,0,SS316L
212.5,190.0,100.0,50.0,200.0,0,SS316L
500.0,4000.0,100.0,20.0,70.0,0,SS17-4PH
150.0,800.0,70.0,50.0,58.0,1,SS316L
375.0,130.0,95.0,50.0,76.0,3,SS316L
200.0,1200.0,100.0,70.0,500.0,2,IN718
250.0,700.0,100.0,25.0,75.0,3,IN718
375.0,400.0,100.0,50.0,300.0,1,SS316L
75.0,1500.0,90.0,40.0,72.0,1,IN718
130.0,2400.0,80.0,20.0,60.0,1,SS17-4PH
550.0,1496.598639,98.0,50.0,75.0,0,SS316L
300.0,500.0,35.0,61.0,183.0,0,SS316L
342.5,190.0,100.0,50.0,270.0,0,SS316L
110.0,1000.0,100.0,70.0,500.0,1,IN718
200.0,300.0,55.0,75.0,44.0,3,SS316L
132.8568,200.0,74.0,0.05,0.0592,3,IN718
350.0,160.0,95.0,50.0,380.0,0,SS316L
299.6764,300.0,59.0,60.0,53.1,3,SS316L
300.0,800.0,50.0,50.0,90.0,2,SS316L
50.0,21.39037433,187.0,50.0,0.1496,0,SS316L
450.0,2500.0,50.0,37.5,40.0,0,SS17-4PH
500.0,3000.0,50.0,25.0,40.0,3,SS17-4PH
100.0,400.0,70.0,50.0,80.0,1,SS316L
550.0,4800.0,100.0,20.0,63.0,0,SS17-4PH
150.0,50.0,500.0,100.0,0.45,1,SS316L
147.5,130.0,100.0,50.0,180.0,0,SS316L
620.0,3000.0,50.0,30.0,40.0,3,SS17-4PH
250.0,660.0,80.0,60.0,40.0,3,IN718
310.0,190.0,100.0,50.0,271.93,0,SS316L
310.0,370.0,100.0,50.0,270.0,1,SS316L
187.8529,1400.0,74.0,0.02,0.047,3,IN718
100.0,200.0,55.0,75.0,41.25,3,SS316L
175.0,500.0,70.0,50.0,120.0,1,SS316L
350.0,280.0,95.0,50.0,76.0,0,SS316L
400.0,1250.0,100.0,30.0,70.0,3,IN718
150.0,700.0,70.0,50.0,63.0,1,SS316L
350.0,1230.661041,116.0,40.0,90.0,3,SS316L
180.0,340.0,100.0,50.0,163.0,1,SS316L
900.0,900.0,240.0,50.0,0.24,2,SS17-4PH
1000.0,2300.0,50.0,60.0,45.0,3,SS17-4PH
212.5,100.0,100.0,50.0,80.0,3,SS316L
180.0,800.0,50.0,25.0,40.0,3,IN718
250.0,2400.0,50.0,0.04735,0.04,1,SS17-4PH
175.0,400.0,70.0,50.0,145.8,1,SS316L
380.0,800.0,50.0,40.0,40.0,3,SS17-4PH
250.0,1500.0,74.0,40.0,40.0,0,IN718
310.0,370.0,100.0,50.0,250.0,1,SS316L
350.0,250.0,0.28,50.0,0.232,0,SS316L
242.4484,400.0,74.0,55.0,61.0,3,IN718
300.0,1000.0,100.0,70.0,500.0,2,IN718
1800.0,800.0,240.0,50.0,562.5,2,SS17-4PH
350.0,220.0,100.0,50.0,90.0,0,SS316L
100.0,1400.0,80.0,50.0,64.0,1,SS17-4PH
250.0,20.0,500.0,100.0,400.0,3,SS316L
300.0,400.0,80.0,40.0,60.0,3,SS316L
900.0,800.0,240.0,50.0,281.25,2,SS17-4PH
342.5,340.0,100.0,50.0,0.15,0,SS316L
175.0,300.0,70.0,50.0,180.0,1,SS316L
212.5,370.0,100.0,50.0,190.0,1,SS316L
50.0,40.81632653,98.0,50.0,200.0,0,SS316L
220.0,900.0,100.0,20.0,150.0,2,SS17-4PH
180.0,100.0,100.0,50.0,300.0,0,SS316L
325.0,160.0,0.36,50.0,0.3,0,SS316L
1350.0,1000.0,240.0,50.0,337.5,2,SS17-4PH
300.0,800.0,100.0,70.0,500.0,2,IN718
300.0,1900.0,70.0,20.0,49.0,3,SS316L
250.0,2000.0,35.0,27.66666667,83.0,0,SS316L
100.0,500.0,35.0,36.66666667,110.0,0,SS316L
750.0,2000.0,50.0,0.05,0.04,3,SS17-4PH
2700.0,2400.0,240.0,50.0,120.0,3,SS17-4PH
245.0,310.0,100.0,50.0,240.0,1,SS316L
900.0,600.0,240.0,50.0,375.0,2,SS17-4PH
200.0,100.0,74.0,40.0,59.2,3,IN718
325.0,130.0,100.0,50.0,90.0,0,SS316L
245.0,400.0,100.0,50.0,200.0,1,SS316L
900.0,1200.0,240.0,50.0,180.0,2,SS17-4PH
300.0,1800.0,80.0,50.0,42.0,2,SS17-4PH
212.5,340.0,100.0,50.0,190.0,1,SS316L
1800.0,800.0,240.0,50.0,562.5,2,SS17-4PH
150.0,1000.0,100.0,40.0,80.0,1,IN718
100.0,800.0,80.0,50.0,24.0,0,SS17-4PH
500.0,5000.0,50.0,31.25,40.0,2,SS17-4PH
220.0,1000.0,100.0,20.0,130.0,2,SS17-4PH
200.0,1000.0,74.0,40.0,51.8,0,IN718
50.0,71.30124777,187.0,50.0,215.7,1,SS316L
407.9518,800.0,74.0,50.0,51.8,3,IN718
375.0,310.0,100.0,50.0,90.0,0,SS316L
130.0,1400.0,70.0,20.0,49.0,0,SS316L
1350.0,1000.0,240.0,50.0,0.338,2,SS17-4PH
375.0,400.0,100.0,50.0,300.0,1,SS316L
75.0,100.0,70.0,50.0,230.0,1,SS316L
250.0,800.0,100.0,70.0,500.0,0,IN718
50.0,81.63265306,98.0,50.0,200.0,1,SS316L
170.0,1200.0,100.0,20.0,88.0,2,SS17-4PH
59.3188,300.0,59.0,25.0,47.2,3,SS316L
140.0,600.0,100.0,70.0,500.0,3,IN718
380.0,1900.0,50.0,45.0,40.0,0,SS17-4PH
82.5,160.0,100.0,50.0,170.0,1,SS316L
132.8568,800.0,74.0,20.0,51.8,3,IN718
250.0,2500.0,35.0,25.0,75.0,0,SS316L
900.0,1000.0,240.0,50.0,0.216,2,SS17-4PH
285.0,600.0,80.0,60.0,56.0,3,IN718
300.0,2000.0,50.0,30.0,40.0,0,SS17-4PH
