Power,Velocity,Material,Hatch spacing,Sub-process,beam D,layer thickness,Cp,k,meltpool shape,defect_label,depth of melt pool,width of melt pool,length of melt pool
100,800,SS316L,105,SLM,37.5,30,500,16.3,desirable,0,45.57,80.14,
100,900,SS316L,105,SLM,37.5,30,500,16.3,desirable,0,46,75.71,
300,400,SS316L,105,SLM,37.5,30,500,16.3,desirable,0,571.14,170.86,
60,0.6,SS316L,100,SLM,45,25,500,16.3,desirable,0,,,
65,0.6,SS316L,100,SLM,45,25,500,16.3,desirable,0,,,
60,0.6,SS316L,100,SLM,45,25,500,16.3,desirable,0,31.5,,
65,0.6,SS316L,100,SLM,45,25,500,16.3,desirable,0,32.8,,
100,300,SS316L,,SLM,55,75,500,16.3,desirable,0,,,
200,600,SS316L,,SLM,55,75,500,16.3,desirable,0,,,
100,300,SS316L,,SLM,55,75,500,16.3,desirable,0,52,103,
200,600,SS316L,,SLM,55,75,500,16.3,desirable,0,70,113,
320,250,SS316L,,SLM,95,50,500,16.3,desirable,0,310,310,
320,280,SS316L,,SLM,95,50,500,16.3,desirable,0,310,310,
350,160,SS316L,,SLM,95,50,500,16.3,desirable,0,340,340,
350,280,SS316L,,SLM,95,50,500,16.3,desirable,0,340,340,
350,310,SS316L,,SLM,95,50,500,16.3,desirable,0,340,340,
350,340,SS316L,,SLM,95,50,500,16.3,desirable,0,340,340,
50,40.81632653,SS316L,,SLM,98,50,500,16.3,desirable,0,,,
150,153.0612245,SS316L,,SLM,98,50,500,16.3,desirable,0,,,
150,122.4489796,SS316L,,SLM,98,50,500,16.3,desirable,0,,,
250,408.1632653,SS316L,,SLM,98,50,500,16.3,desirable,0,,,
250,255.1020408,SS316L,,SLM,98,50,500,16.3,desirable,0,,,
350,952.3809524,SS316L,,SLM,98,50,500,16.3,desirable,0,,,
350,571.4285714,SS316L,,SLM,98,50,500,16.3,desirable,0,,,
450,1224.489796,SS316L,,SLM,98,50,500,16.3,desirable,0,,,
450,734.6938776,SS316L,,SLM,98,50,500,16.3,desirable,0,,,
550,1496.598639,SS316L,,SLM,98,50,500,16.3,desirable,0,,,
147.5,100,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
147.5,130,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
180,100,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
180,130,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
180,160,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
212.5,130,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
212.5,160,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
212.5,190,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
245,130,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
245,160,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
245,190,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
245,220,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
277.5,160,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
277.5,190,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
277.5,220,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
277.5,250,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
310,160,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
310,190,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
310,220,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
310,250,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
310,280,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
310,310,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
342.5,190,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
342.5,220,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
342.5,250,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
342.5,280,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
342.5,310,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
342.5,340,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
375,190,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
375,220,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
375,250,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
375,280,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
375,310,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
375,340,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
375,370,SS316L,,SLM,100,50,500,16.3,desirable,0,,,
147.5,100,SS316L,,SLM,100,50,500,16.3,desirable,0,,152.85,
147.5,130,SS316L,,SLM,100,50,500,16.3,desirable,0,,153.77,
180,100,SS316L,,SLM,100,50,500,16.3,desirable,0,,176.78,
180,130,SS316L,,SLM,100,50,500,16.3,desirable,0,,195.17,
180,160,SS316L,,SLM,100,50,500,16.3,desirable,0,,159.61,
212.5,130,SS316L,,SLM,100,50,500,16.3,desirable,0,,194.13,
212.5,160,SS316L,,SLM,100,50,500,16.3,desirable,0,,205.97,
212.5,190,SS316L,,SLM,100,50,500,16.3,desirable,0,,180.88,
245,130,SS316L,,SLM,100,50,500,16.3,desirable,0,,231.26,
245,160,SS316L,,SLM,100,50,500,16.3,desirable,0,,202.26,
245,190,SS316L,,SLM,100,50,500,16.3,desirable,0,,189.96,
245,220,SS316L,,SLM,100,50,500,16.3,desirable,0,,171.94,
277.5,160,SS316L,,SLM,100,50,500,16.3,desirable,0,,226.32,
277.5,190,SS316L,,SLM,100,50,500,16.3,desirable,0,,198.82,
277.5,220,SS316L,,SLM,100,50,500,16.3,desirable,0,,181.18,
277.5,250,SS316L,,SLM,100,50,500,16.3,desirable,0,,178.21,
310,160,SS316L,,SLM,100,50,500,16.3,desirable,0,,249.37,
310,190,SS316L,,SLM,100,50,500,16.3,desirable,0,,236.03,
310,220,SS316L,,SLM,100,50,500,16.3,desirable,0,,195.84,
310,250,SS316L,,SLM,100,50,500,16.3,desirable,0,,185.33,
310,280,SS316L,,SLM,100,50,500,16.3,desirable,0,,185.34,
310,310,SS316L,,SLM,100,50,500,16.3,desirable,0,,154.47,
342.5,190,SS316L,,SLM,100,50,500,16.3,desirable,0,,226.42,
342.5,220,SS316L,,SLM,100,50,500,16.3,desirable,0,,212.98,
342.5,250,SS316L,,SLM,100,50,500,16.3,desirable,0,,208.71,
342.5,280,SS316L,,SLM,100,50,500,16.3,desirable,0,,190.39,
342.5,310,SS316L,,SLM,100,50,500,16.3,desirable,0,,190.45,
342.5,340,SS316L,,SLM,100,50,500,16.3,desirable,0,,158.32,
375,190,SS316L,,SLM,100,50,500,16.3,desirable,0,,255.72,
375,220,SS316L,,SLM,100,50,500,16.3,desirable,0,,240.54,
375,250,SS316L,,SLM,100,50,500,16.3,desirable,0,,187.72,
375,280,SS316L,,SLM,100,50,500,16.3,desirable,0,,212.68,
375,310,SS316L,,SLM,100,50,500,16.3,desirable,0,,193.45,
375,340,SS316L,,SLM,100,50,500,16.3,desirable,0,,173.74,
375,370,SS316L,,SLM,100,50,500,16.3,desirable,0,,185.74,
50,21.39037433,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
150,80.21390374,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
150,64.17112299,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
250,133.6898396,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
250,106.9518717,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
350,299.4652406,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
350,187.1657754,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
350,149.7326203,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
450,385.026738,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
450,240.6417112,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
450,192.513369,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
550,784.3137255,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
550,470.5882353,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
550,294.1176471,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
550,235.2941176,SS316L,,SLM,187,50,500,16.3,desirable,0,,,
250,80.64516129,SS316L,,SLM,248,50,500,16.3,desirable,0,,,
350,141.1290323,SS316L,,SLM,248,50,500,16.3,desirable,0,,,
350,112.9032258,SS316L,,SLM,248,50,500,16.3,desirable,0,,,
450,181.4516129,SS316L,,SLM,248,50,500,16.3,desirable,0,,,
450,145.1612903,SS316L,,SLM,248,50,500,16.3,desirable,0,,,
550,354.8387097,SS316L,,SLM,248,50,500,16.3,desirable,0,,,
550,221.7741935,SS316L,,SLM,248,50,500,16.3,desirable,0,,,
550,177.4193548,SS316L,,SLM,248,50,500,16.3,desirable,0,,,
250,50,SS316L,,SLM,500,100,500,16.3,desirable,0,,,
350,50,SS316L,,SLM,500,100,500,16.3,desirable,0,,,
350,80,SS316L,,SLM,500,100,500,16.3,desirable,0,,,
450,80,SS316L,,SLM,500,100,500,16.3,desirable,0,,,
250,50,SS316L,,SLM,500,100,500,16.3,desirable,0,132.19,469.7,
350,50,SS316L,,SLM,500,100,500,16.3,desirable,0,226.37,484.3,
350,80,SS316L,,SLM,500,100,500,16.3,desirable,0,175.45,431.2,
450,80,SS316L,,SLM,500,100,500,16.3,desirable,0,212.73,497,
130,900,SS316L,,SLM,,,500,16.3,desirable,0,,,
130,1400,SS316L,,SLM,,,500,16.3,desirable,0,,,
220,2400,SS316L,,SLM,,,500,16.3,desirable,0,,,
220,2900,SS316L,,SLM,,,500,16.3,desirable,0,,,
300,3400,SS316L,,SLM,,,500,16.3,desirable,0,,,
325,100,SS316L,,SLM,,50,500,16.3,desirable,0,,315,
325,130,SS316L,,SLM,,50,500,16.3,desirable,0,,275,
325,160,SS316L,,SLM,,50,500,16.3,desirable,0,,250,
325,190,SS316L,,SLM,,50,500,16.3,desirable,0,,240,
325,250,SS316L,,SLM,,50,500,16.3,desirable,0,,208,
325,280,SS316L,,SLM,,50,500,16.3,desirable,0,,200,
325,310,SS316L,,SLM,,50,500,16.3,desirable,0,,194,
325,340,SS316L,,SLM,,50,500,16.3,desirable,0,,185,
325,370,SS316L,,SLM,,50,500,16.3,desirable,0,,176,
350,160,SS316L,,SLM,,50,500,16.3,desirable,0,,268,
350,190,SS316L,,SLM,,50,500,16.3,desirable,0,,246,
350,220,SS316L,,SLM,,50,500,16.3,desirable,0,,244,
350,250,SS316L,,SLM,,50,500,16.3,desirable,0,,211,
350,280,SS316L,,SLM,,50,500,16.3,desirable,0,,205,
350,310,SS316L,,SLM,,50,500,16.3,desirable,0,,187,
350,340,SS316L,,SLM,,50,500,16.3,desirable,0,,194,
375,190,SS316L,,SLM,,50,500,16.3,desirable,0,,268,
375,220,SS316L,,SLM,,50,500,16.3,desirable,0,,237,
375,250,SS316L,,SLM,,50,500,16.3,desirable,0,,228,
375,280,SS316L,,SLM,,50,500,16.3,desirable,0,,220,
375,310,SS316L,,SLM,,50,500,16.3,desirable,0,,210,
375,340,SS316L,,SLM,,50,500,16.3,desirable,0,,200,
375,370,SS316L,,SLM,,50,500,16.3,desirable,0,,180,
375,400,SS316L,,SLM,,50,500,16.3,desirable,0,,187,
75,300,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
75,200,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
75,100,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
100,400,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
100,300,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
100,200,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
125,500,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
150,800,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
150,700,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
150,600,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
150,500,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
150,400,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
175,500,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
175,400,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
175,300,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
200,700,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
200,600,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
200,500,SS316L,,SLM,70,50,500,16.3,LOF,1,,,
75,300,SS316L,,SLM,70,50,500,16.3,LOF,1,30,135,
75,200,SS316L,,SLM,70,50,500,16.3,LOF,1,25,138,
75,100,SS316L,,SLM,70,50,500,16.3,LOF,1,30,162,
100,400,SS316L,,SLM,70,50,500,16.3,LOF,1,23,119,
100,300,SS316L,,SLM,70,50,500,16.3,LOF,1,17,186,
100,200,SS316L,,SLM,70,50,500,16.3,LOF,1,35,140,
125,500,SS316L,,SLM,70,50,500,16.3,LOF,1,14,136,
150,800,SS316L,,SLM,70,50,500,16.3,LOF,1,16,111,
150,700,SS316L,,SLM,70,50,500,16.3,LOF,1,19,134,
150,600,SS316L,,SLM,70,50,500,16.3,LOF,1,14,107,
150,500,SS316L,,SLM,70,50,500,16.3,LOF,1,25,137,
150,400,SS316L,,SLM,70,50,500,16.3,LOF,1,35,170,
175,500,SS316L,,SLM,70,50,500,16.3,LOF,1,8,136,
175,400,SS316L,,SLM,70,50,500,16.3,LOF,1,35,148,
175,300,SS316L,,SLM,70,50,500,16.3,LOF,1,32,140,
200,700,SS316L,,SLM,70,50,500,16.3,LOF,1,46,142,
200,600,SS316L,,SLM,70,50,500,16.3,LOF,1,47,127,
200,500,SS316L,,SLM,70,50,500,16.3,LOF,1,34,179,
200,1600,SS316L,90,SLM,90,30,500,16.3,LOF,1,,,
200,1600,SS316L,90,SLM,90,30,500,16.3,LOF,1,63,100,
50,136.0544218,SS316L,,SLM,98,50,500,16.3,LOF,1,,,
50,81.63265306,SS316L,,SLM,98,50,500,16.3,LOF,1,,,
50,51.02040816,SS316L,,SLM,98,50,500,16.3,LOF,1,,,
150,408.1632653,SS316L,,SLM,98,50,500,16.3,LOF,1,,,
150,244.8979592,SS316L,,SLM,98,50,500,16.3,LOF,1,,,
250,680.2721088,SS316L,,SLM,98,50,500,16.3,LOF,1,,,
82.5,100,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
82.5,130,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
82.5,160,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
115,100,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
115,130,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
115,160,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
115,190,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
115,220,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
147.5,160,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
147.5,190,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
147.5,220,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
147.5,250,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
147.5,280,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
180,190,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
180,220,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
180,250,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
180,280,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
180,310,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
180,340,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
212.5,220,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
212.5,250,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
212.5,280,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
212.5,310,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
212.5,340,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
212.5,370,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
212.5,400,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
245,250,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
245,280,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
245,310,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
245,340,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
245,370,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
245,400,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
277.5,280,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
277.5,310,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
277.5,340,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
277.5,370,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
277.5,400,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
310,340,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
310,370,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
310,400,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
342.5,370,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
342.5,400,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
375,400,SS316L,,SLM,100,50,500,16.3,LOF,1,,,
82.5,100,SS316L,,SLM,100,50,500,16.3,LOF,1,,158.01,
82.5,130,SS316L,,SLM,100,50,500,16.3,LOF,1,,101.39,
82.5,160,SS316L,,SLM,100,50,500,16.3,LOF,1,,104.69,
115,100,SS316L,,SLM,100,50,500,16.3,LOF,1,,150.51,
115,130,SS316L,,SLM,100,50,500,16.3,LOF,1,,125.94,
115,160,SS316L,,SLM,100,50,500,16.3,LOF,1,,93.33,
115,190,SS316L,,SLM,100,50,500,16.3,LOF,1,,111.61,
115,220,SS316L,,SLM,100,50,500,16.3,LOF,1,,128.63,
147.5,160,SS316L,,SLM,100,50,500,16.3,LOF,1,,134.96,
147.5,190,SS316L,,SLM,100,50,500,16.3,LOF,1,,155.81,
147.5,220,SS316L,,SLM,100,50,500,16.3,LOF,1,,135.54,
147.5,250,SS316L,,SLM,100,50,500,16.3,LOF,1,,107.26,
147.5,280,SS316L,,SLM,100,50,500,16.3,LOF,1,,142.13,
180,190,SS316L,,SLM,100,50,500,16.3,LOF,1,,159.39,
180,220,SS316L,,SLM,100,50,500,16.3,LOF,1,,126.04,
180,250,SS316L,,SLM,100,50,500,16.3,LOF,1,,144.87,
180,280,SS316L,,SLM,100,50,500,16.3,LOF,1,,118.93,
180,310,SS316L,,SLM,100,50,500,16.3,LOF,1,,107.37,
180,340,SS316L,,SLM,100,50,500,16.3,LOF,1,,119.48,
212.5,220,SS316L,,SLM,100,50,500,16.3,LOF,1,,157.36,
212.5,250,SS316L,,SLM,100,50,500,16.3,LOF,1,,141.39,
212.5,280,SS316L,,SLM,100,50,500,16.3,LOF,1,,140.41,
212.5,310,SS316L,,SLM,100,50,500,16.3,LOF,1,,133.25,
212.5,340,SS316L,,SLM,100,50,500,16.3,LOF,1,,135.06,
212.5,370,SS316L,,SLM,100,50,500,16.3,LOF,1,,132.08,
212.5,400,SS316L,,SLM,100,50,500,16.3,LOF,1,,117.13,
245,250,SS316L,,SLM,100,50,500,16.3,LOF,1,,164.23,
245,280,SS316L,,SLM,100,50,500,16.3,LOF,1,,163.34,
245,310,SS316L,,SLM,100,50,500,16.3,LOF,1,,126.97,
245,340,SS316L,,SLM,100,50,500,16.3,LOF,1,,129.75,
245,370,SS316L,,SLM,100,50,500,16.3,LOF,1,,124.93,
245,400,SS316L,,SLM,100,50,500,16.3,LOF,1,,115.19,
277.5,280,SS316L,,SLM,100,50,500,16.3,LOF,1,,168.11,
277.5,310,SS316L,,SLM,100,50,500,16.3,LOF,1,,162.34,
277.5,340,SS316L,,SLM,100,50,500,16.3,LOF,1,,155.73,
277.5,370,SS316L,,SLM,100,50,500,16.3,LOF,1,,142.58,
277.5,400,SS316L,,SLM,100,50,500,16.3,LOF,1,,130.09,
310,340,SS316L,,SLM,100,50,500,16.3,LOF,1,,171.35,
310,370,SS316L,,SLM,100,50,500,16.3,LOF,1,,170.71,
310,400,SS316L,,SLM,100,50,500,16.3,LOF,1,,137.46,
342.5,370,SS316L,,SLM,100,50,500,16.3,LOF,1,,180.97,
342.5,400,SS316L,,SLM,100,50,500,16.3,LOF,1,,139.11,
375,400,SS316L,,SLM,100,50,500,16.3,LOF,1,,166,
50,71.30124777,SS316L,,SLM,187,50,500,16.3,LOF,1,,,
50,42.78074866,SS316L,,SLM,187,50,500,16.3,LOF,1,,,
50,26.73796791,SS316L,,SLM,187,50,500,16.3,LOF,1,,,
150,213.9037433,SS316L,,SLM,187,50,500,16.3,LOF,1,,,
150,128.342246,SS316L,,SLM,187,50,500,16.3,LOF,1,,,
250,356.5062389,SS316L,,SLM,187,50,500,16.3,LOF,1,,,
250,213.9037433,SS316L,,SLM,187,50,500,16.3,LOF,1,,,
350,499.1087344,SS316L,,SLM,187,50,500,16.3,LOF,1,,,
450,641.7112299,SS316L,,SLM,187,50,500,16.3,LOF,1,,,
50,53.76344086,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
50,32.25806452,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
50,20.16129032,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
50,16.12903226,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
150,161.2903226,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
150,96.77419355,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
150,60.48387097,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
150,48.38709677,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
250,268.8172043,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
250,161.2903226,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
250,100.8064516,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
350,376.344086,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
350,225.8064516,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
450,483.8709677,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
450,290.3225806,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
550,591.3978495,SS316L,,SLM,248,50,500,16.3,LOF,1,,,
150,50,SS316L,,SLM,500,100,500,16.3,LOF,1,,,
150,80,SS316L,,SLM,500,100,500,16.3,LOF,1,,,
250,80,SS316L,,SLM,500,100,500,16.3,LOF,1,,,
150,50,SS316L,,SLM,500,100,500,16.3,LOF,1,60.02,340.2,
150,80,SS316L,,SLM,500,100,500,16.3,LOF,1,51.78,282.1,
250,80,SS316L,,SLM,500,100,500,16.3,LOF,1,124.5,377.3,
45,400,SS316L,,SLM,,,500,16.3,LOF,1,,,
45,900,SS316L,,SLM,,,500,16.3,LOF,1,,,
45,1400,SS316L,,SLM,,,500,16.3,LOF,1,,,
45,1900,SS316L,,SLM,,,500,16.3,LOF,1,,,
45,2400,SS316L,,SLM,,,500,16.3,LOF,1,,,
45,2900,SS316L,,SLM,,,500,16.3,LOF,1,,,
45,3400,SS316L,,SLM,,,500,16.3,LOF,1,,,
130,1900,SS316L,,SLM,,,500,16.3,LOF,1,,,
130,2400,SS316L,,SLM,,,500,16.3,LOF,1,,,
130,2900,SS316L,,SLM,,,500,16.3,LOF,1,,,
130,3400,SS316L,,SLM,,,500,16.3,LOF,1,,,
220,3400,SS316L,,SLM,,,500,16.3,LOF,1,,,
200,800,SS316L,,SLM,50,50,500,16.3,balling,2,,,
300,800,SS316L,,SLM,50,50,500,16.3,balling,2,,,
400,800,SS316L,,SLM,50,50,500,16.3,balling,2,,,
200,800,SS316L,,SLM,50,50,500,16.3,balling,2,220,,32
300,800,SS316L,,SLM,50,50,500,16.3,balling,2,320,83,55
400,800,SS316L,,SLM,50,50,500,16.3,balling,2,430,,95
180,370,SS316L,,SLM,100,50,500,16.3,balling,2,,,
180,400,SS316L,,SLM,100,50,500,16.3,balling,2,,,
180,370,SS316L,,SLM,100,50,500,16.3,balling,2,,93.82,
180,400,SS316L,,SLM,100,50,500,16.3,balling,2,,112.18,
600,400,SS316L,105,SLM,37.5,30,500,16.3,keyhole,3,,,
600,500,SS316L,105,SLM,37.5,30,500,16.3,keyhole,3,,,
600,600,SS316L,105,SLM,37.5,30,500,16.3,keyhole,3,,,
