Material,Power,Velocity,beam D,layer thickness,Hatch spacing,meltpool shape
IN718,200.0,950,100.0,70.0,500.0,desirable
IN718,210.0,1000,100.0,70.0,500.0,desirable
IN718,240.0,800,100.0,70.0,500.0,desirable
IN718,125.0,400,100.0,70.0,500.0,desirable
IN718,280.0,950,100.0,70.0,500.0,desirable
IN718,150.0,800,70.0,40.0,49.0,desirable
IN718,225.0,800,80.0,40.0,64.0,desirable
IN718,300.0,800,100.0,40.0,85.0,desirable
IN718,250.0,1100,80.0,60.0,40.0,desirable
IN718,285.0,960,80.0,60.0,55.0,desirable
IN718,150.0,700,70.0,40.0,56.0,desirable
IN718,200.0,1000,74.0,40.0,53.0,desirable
IN718,250.0,1500,74.0,40.0,40.0,desirable
IN718,180.0,1000,50.0,25.0,60.0,desirable
IN718,100.0,600,100.0,70.0,500.0,LOF
IN718,100.0,800,100.0,70.0,500.0,LOF
IN718,100.0,1000,100.0,70.0,500.0,LOF
IN718,150.0,1000,100.0,70.0,500.0,LOF
IN718,150.0,1200,100.0,70.0,500.0,LOF
IN718,100.0,600,100.0,40.0,80.0,LOF
IN718,100.0,800,100.0,40.0,80.0,LOF
IN718,100.0,1000,100.0,40.0,80.0,LOF
IN718,150.0,1000,100.0,40.0,80.0,LOF
IN718,150.0,1200,100.0,30.0,80.0,LOF
IN718,150.0,1000,100.0,70.0,500.0,LOF
IN718,75.0,800,90.0,40.0,72.0,LOF
IN718,75.0,1500,90.0,40.0,72.0,LOF
IN718,75.0,2200,0.09,40.0,0.072,LOF
IN718,150.0,1500,90.0,40.0,76.5,LOF
IN718,150.0,2200,90.0,40.0,72.0,LOF
IN718,225.0,2200,70.0,40.0,49.0,LOF
IN718,300.0,2200,80.0,40.0,60.0,LOF
IN718,150.0,1200,90.0,40.0,81.0,LOF
IN718,300.0,2500,100.0,40.0,90.0,LOF
IN718,180.0,400,700.0,100.0,103.0,LOF
IN718,180.0,600,700.0,100.0,103.0,LOF
IN718,100.0,950,100.0,70.0,500.0,LOF
IN718,110.0,1000,100.0,70.0,500.0,LOF
IN718,140.0,950,100.0,70.0,500.0,LOF
IN718,150.0,1000,100.0,70.0,500.0,LOF
IN718,75.0,800,0.1,40.0,0.09,LOF
IN718,75.0,1500,70.0,40.0,49.0,LOF
IN718,75.0,2200,90.0,40.0,63.0,LOF
IN718,150.0,1500,0.09,40.0,0.063,LOF
IN718,150.0,2200,90.0,40.0,72.0,LOF
IN718,225.0,2200,90.0,40.0,81.0,LOF
IN718,300.0,2200,80.0,40.0,64.0,LOF
IN718,142.0,960,80.0,60.0,68.0,LOF
IN718,150.0,1200,100.0,40.0,90.0,LOF
IN718,200.0,1200,0.09,40.0,0.08,LOF
IN718,300.0,2200,0.09,40.0,0.072,LOF
IN718,300.0,2500,0.08,40.0,0.056,LOF
IN718,180.0,400,700.0,100.0,103.0,LOF
IN718,180.0,600,700.0,100.0,103.0,LOF
IN718,200.0,1200,100.0,70.0,500.0,balling
IN718,250.0,1200,100.0,70.0,500.0,balling
IN718,250.0,1400,100.0,70.0,500.0,balling
IN718,300.0,800,100.0,70.0,500.0,balling
IN718,300.0,1000,100.0,70.0,500.0,balling
IN718,300.0,1200,100.0,70.0,500.0,balling
IN718,300.0,1400,100.0,70.0,500.0,balling
IN718,370.0,1200,100.0,70.0,500.0,balling
IN718,370.0,1400,100.0,70.0,500.0,balling
IN718,200.0,1200,100.0,26.0,80.0,balling
IN718,250.0,1200,100.0,32.5,80.0,balling
IN718,250.0,1400,100.0,30.0,70.0,balling
IN718,300.0,1200,100.0,40.0,80.0,balling
IN718,300.0,1400,100.0,33.48,80.0,balling
IN718,370.0,1200,100.0,50.0,80.0,balling
IN718,370.0,1400,100.0,40.0,80.0,balling
IN718,230.0,1200,100.0,70.0,500.0,balling
IN718,300.0,1000,100.0,70.0,500.0,balling
IN718,230.0,1200,100.0,70.0,500.0,balling
IN718,300.0,1000,100.0,70.0,500.0,balling
IN718,225.0,1500,0.07,40.0,0.049,balling
IN718,300.0,1500,80.0,40.0,62.5,balling
IN718,150.0,200,100.0,70.0,500.0,keyhole
IN718,200.0,200,100.0,70.0,500.0,keyhole
IN718,200.0,400,100.0,70.0,500.0,keyhole
IN718,250.0,200,100.0,70.0,500.0,keyhole
IN718,250.0,400,100.0,70.0,500.0,keyhole
IN718,300.0,400,100.0,70.0,500.0,keyhole
IN718,370.0,400,100.0,70.0,500.0,keyhole
IN718,370.0,800,100.0,70.0,500.0,keyhole
IN718,150.0,200,100.0,40.0,80.0,keyhole
IN718,200.0,200,100.0,60.0,90.0,keyhole
IN718,200.0,400,100.0,40.0,80.0,keyhole
IN718,250.0,200,100.0,60.0,90.0,keyhole
IN718,250.0,400,100.0,40.0,70.0,keyhole
IN718,300.0,400,100.0,40.0,80.0,keyhole
IN718,370.0,400,100.0,50.0,85.0,keyhole
IN718,370.0,800,100.0,35.0,70.0,keyhole
IN718,150.0,200,100.0,70.0,500.0,keyhole
IN718,250.0,660,80.0,60.0,40.0,keyhole
IN718,285.0,600,80.0,60.0,46.0,keyhole
IN718,200.0,100,74.0,40.0,59.2,keyhole
IN718,200.0,250,74.0,40.0,59.2,keyhole
IN718,200.0,500,74.0,40.0,59.2,keyhole
IN718,250.0,100,74.0,40.0,59.2,keyhole
IN718,250.0,250,74.0,40.0,60.0,keyhole
IN718,250.0,500,74.0,40.0,59.2,keyhole
IN718,250.0,1000,74.0,40.0,40.0,keyhole
IN718,285.0,960,74.0,40.0,46.0,keyhole
IN718,300.0,100,74.0,40.0,59.2,keyhole
IN718,300.0,150,74.0,40.0,52.0,keyhole
IN718,300.0,250,74.0,40.0,59.2,keyhole
IN718,170.0,585,100.0,20.0,75.0,keyhole
IN718,285.0,600,100.0,30.0,80.0,keyhole
IN718,250.0,700,100.0,25.0,75.0,keyhole
IN718,400.0,900,100.0,35.0,70.0,keyhole
IN718,140.0,950,100.0,0.02,0.05,keyhole
IN718,170.0,950,100.0,20.0,50.0,keyhole
IN718,285.0,950,100.0,0.026,0.07,keyhole
IN718,250.0,1100,100.0,20.0,70.0,keyhole
IN718,350.0,1100,100.0,0.03,0.07,keyhole
IN718,400.0,1250,100.0,30.0,70.0,keyhole
IN718,230.0,1300,100.0,0.02,0.05,keyhole
IN718,180.0,200,50.0,25.0,40.0,keyhole
IN718,180.0,800,50.0,25.0,40.0,keyhole
IN718,132.8568,200,74.0,0.05,0.0592,keyhole
IN718,132.8568,400,74.0,30.0,51.8,keyhole
IN718,132.8568,600,74.0,20.0,60.0,keyhole
IN718,132.8568,800,74.0,20.0,52.0,keyhole
IN718,132.8568,1000,74.0,0.02,0.04292,keyhole
IN718,132.8568,1200,74.0,20.0,37.0,keyhole
IN718,132.8568,1400,74.0,20.0,29.0,keyhole
IN718,187.8529,550,74.0,35.0,55.0,keyhole
IN718,187.8529,200,74.0,0.05,0.0592,keyhole
IN718,187.8529,400,74.0,0.04,0.0592,keyhole
IN718,187.8529,600,74.0,40.0,52.0,keyhole
IN718,187.8529,800,74.0,20.0,62.0,keyhole
IN718,187.8529,1000,74.0,20.0,51.8,keyhole
IN718,187.8529,1200,74.0,20.0,51.8,keyhole
IN718,187.8529,1400,74.0,20.0,40.0,keyhole
IN718,242.4484,400,74.0,55.0,61.0,keyhole
IN718,242.4484,800,74.0,0.03,0.0592,keyhole
IN718,242.4484,200,74.0,50.0,59.2,keyhole
IN718,242.4484,600,74.0,40.0,59.2,keyhole
IN718,242.4484,1000,74.0,25.0,51.8,keyhole
IN718,242.4484,1200,74.0,25.0,51.8,keyhole
IN718,242.4484,1400,74.0,20.0,51.8,keyhole
IN718,282.508,550,74.0,40.0,59.2,keyhole
IN718,282.508,700,74.0,40.0,59.0,keyhole
IN718,282.508,960,74.0,30.0,55.5,keyhole
IN718,297.9023,1200,74.0,25.0,59.2,keyhole
IN718,297.9023,1400,74.0,25.0,51.8,keyhole
IN718,352.9557,400,74.0,60.0,66.6,keyhole
IN718,352.9557,600,74.0,50.0,62.0,keyhole
IN718,352.9557,800,74.0,0.04,0.0518,keyhole
IN718,352.9557,1000,74.0,40.0,52.0,keyhole
IN718,352.9557,1200,74.0,30.0,60.0,keyhole
IN718,352.9557,1400,74.0,30.4191466941,51.8,keyhole
IN718,407.9518,600,74.0,50.0,59.2,keyhole
IN718,407.9518,800,74.0,50.0,51.8,keyhole
IN718,407.9518,1000,74.0,40.0,59.2,keyhole
IN718,407.9518,1200,74.0,0.04,0.055,keyhole
IN718,407.9518,1400,74.0,0.03,0.0555,keyhole
IN718,120.0,200,100.0,70.0,500.0,keyhole
IN718,150.0,200,100.0,70.0,500.0,keyhole
IN718,320.0,400,100.0,70.0,500.0,keyhole
IN718,170.0,400,100.0,70.0,500.0,keyhole
IN718,140.0,600,100.0,70.0,500.0,keyhole
IN718,250.0,660,80.0,60.0,39.0,keyhole
IN718,285.0,600,80.0,60.0,56.0,keyhole
IN718,200.0,100,74.0,40.0,59.2,keyhole
IN718,200.0,250,74.0,40.0,59.2,keyhole
IN718,200.0,500,74.0,40.0,63.0,keyhole
IN718,250.0,100,74.0,40.0,0.0592,keyhole
IN718,250.0,250,74.0,40.0,66.6,keyhole
IN718,250.0,500,74.0,40.0,0.0592,keyhole
IN718,250.0,1000,74.0,40.0,0.037,keyhole
IN718,285.0,960,74.0,40.0,51.8,keyhole
IN718,300.0,100,74.0,40.0,0.0592,keyhole
IN718,300.0,150,74.0,40.0,59.2,keyhole
IN718,300.0,250,74.0,40.0,66.6,keyhole
IN718,170.0,585,100.0,0.021,0.08,keyhole
IN718,285.0,600,100.0,40.0,70.0,keyhole
IN718,250.0,700,100.0,25.0,80.0,keyhole
IN718,400.0,900,100.0,0.03,0.08,keyhole
IN718,140.0,950,100.0,20.0,50.0,keyhole
IN718,170.0,950,100.0,20.0,60.0,keyhole
IN718,285.0,950,100.0,25.0,70.0,keyhole
IN718,250.0,1100,100.0,0.02,0.07,keyhole
IN718,350.0,1100,100.0,0.02,0.08,keyhole
IN718,400.0,1250,100.0,30.0,70.0,keyhole
IN718,230.0,1300,100.0,0.02,0.06,keyhole
IN718,180.0,200,50.0,25.0,40.0,keyhole
IN718,180.0,800,50.0,25.0,40.0,keyhole
IN718,132.8568,200,74.0,40.0,60.0,keyhole
IN718,132.8568,400,74.0,0.03,0.0592,keyhole
IN718,132.8568,600,74.0,20.0,52.0,keyhole
IN718,132.8568,800,74.0,20.0,51.8,keyhole
IN718,132.8568,1000,74.0,18.0,52.0,keyhole
IN718,132.8568,1200,74.0,15.0,51.8,keyhole
IN718,132.8568,1400,74.0,12.0,51.8,keyhole
IN718,187.8529,550,74.0,40.0,55.0,keyhole
IN718,187.8529,200,74.0,60.0,66.0,keyhole
IN718,187.8529,400,74.0,40.0,62.9,keyhole
IN718,187.8529,600,74.0,30.0,55.0,keyhole
IN718,187.8529,800,74.0,24.0,59.2,keyhole
IN718,187.8529,1000,74.0,20.0,52.0,keyhole
IN718,187.8529,1200,74.0,20.0,51.8,keyhole
IN718,187.8529,1400,74.0,0.02,0.047,keyhole
IN718,242.4484,400,74.0,40.0,59.2,keyhole
IN718,242.4484,800,74.0,30.0,52.0,keyhole
IN718,242.4484,200,74.0,60.0,66.6,keyhole
IN718,242.4484,600,74.0,40.0,60.0,keyhole
IN718,242.4484,1000,74.0,20.0,52.0,keyhole
IN718,242.4484,1200,74.0,20.0,60.0,keyhole
IN718,242.4484,1400,74.0,20.0,52.0,keyhole
IN718,282.508,550,74.0,50.0,62.9,keyhole
IN718,282.508,700,74.0,40.0,60.0,keyhole
IN718,282.508,960,74.0,30.0,56.0,keyhole
IN718,297.9023,1200,74.0,29.5,52.0,keyhole
IN718,297.9023,1400,74.0,20.0,51.8,keyhole
IN718,352.9557,400,74.0,60.0,66.6,keyhole
IN718,352.9557,600,74.0,40.0,55.5,keyhole
IN718,352.9557,800,74.0,0.04,0.0518,keyhole
IN718,352.9557,1000,74.0,35.0,59.2,keyhole
IN718,352.9557,1200,74.0,30.0,55.5,keyhole
IN718,352.9557,1400,74.0,25.0,59.2,keyhole
IN718,407.9518,600,74.0,40.0,60.0,keyhole
IN718,407.9518,800,74.0,40.0,55.0,keyhole
IN718,407.9518,1000,74.0,40.0,62.0,keyhole
IN718,407.9518,1200,74.0,35.0,51.8,keyhole
IN718,407.9518,1400,74.0,30.0,59.2,keyhole
IN718,340.0,800,100.0,70.0,500.0,
IN718,340.0,600,100.0,70.0,500.0,
IN718,120.0,800,100.0,70.0,500.0,
IN718,180.0,1200,100.0,70.0,500.0,
IN718,100.0,200,0.1,40.0,0.09,None
IN718,150.0,200,85.0,40.0,68.0,Keyhole
IN718,200.0,200,100.0,40.0,70.0,Keyhole
IN718,200.0,700,80.0,40.0,64.0,None
IN718,300.0,200,90.0,40.0,81.0,Keyhole
IN718,300.0,700,90.0,40.0,81.0,None
IN718,300.0,1200,80.0,40.0,60.0,None
IN718,720.0,450,0.616112188,50.0,0.4928897504,Keyhole
IN718,510.0,300,0.626529767,50.0,0.0004385708369,Keyhole
IN718,765.0,450,0.626529767,50.0,0.5012238136,Keyhole
IN718,540.0,300,0.635653642,50.0,508.5229136,Balling
IN718,810.0,450,0.635653642,50.0,0.5085229136,Balling
IN718,570.0,300,0.643644472,50.0,0.0005149155776,Keyhole
IN718,855.0,450,0.643644472,50.0,0.0005149155776,Keyhole
IN718,600.0,300,0.650642964,50.0,0.5205143712,Keyhole
IN718,150.0,200,75.0,40.0,0.0675,Keyhole
IN718,200.0,200,75.0,40.0,60.0,Keyhole
IN718,300.0,200,75.0,40.0,60.0,Keyhole
IN718,180.0,800,700.0,100.0,103.0,
